Dia;usa;italy;spain;germany;sweden;france;korea;uk;japan;brazil
26/03/2020;17050;6153;7681;4954;286;3922;104;2129;96;482
27/03/2020;19046;5959;7933;5780;366;3809;91;2890;112;502
28/03/2020;20093;5974;7513;6294;300;4611;146;2556;194;487
29/03/2020;19118;5217;6878;3965;281;2599;105;2502;173;352
30/03/2020;20463;4050;7846;4751;415;4376;78;2665;87;323
31/03/2020;25305;4053;7967;4615;475;7578;125;3250;225;1138
01/04/2020;26756;4782;8195;5453;486;4861;101;4567;206;1119
02/04/2020;28879;4668;7947;6156;554;2116;89;4522;233;1074
03/04/2020;32525;4585;7134;6174;601;5233;86;4672;303;1146
04/04/2020;33725;4805;6969;6082;357;4267;94;4000;351;1222
05/04/2020;25717;4316;5478;5936;340;1873;81;6199;383;852
06/04/2020;29359;3599;5029;3677;389;3912;47;4143;252;926
07/04/2020;30512;3039;5267;3834;738;3777;47;3888;351;1661
08/04/2020;32282;3836;6278;4003;654;3881;53;5865;511;2210
09/04/2020;34243;4204;5002;4974;645;4286;39;4675;579;1930
10/04/2020;33578;3951;5051;5323;454;4342;27;5706;658;1781
11/04/2020;31869;4694;4754;4133;395;3114;30;5233;743;1089
12/04/2020;28057;4092;3804;2821;464;1613;32;5288;507;1442
13/04/2020;24685;3153;3268;2537;437;2673;25;4342;390;1261
14/04/2020;25987;2972;3961;2082;479;5497;27;5252;455;1832
15/04/2020;29465;2667;6599;2486;604;2633;27;4603;482;3058
16/04/2020;32076;3786;4289;2866;623;2641;22;4617;585;2105
17/04/2020;30915;3493;5891;3380;688;405;22;5599;628;3257
18/04/2020;28084;3491;3577;3609;532;2569;18;5525;566;2917
19/04/2020;26013;3047;4258;2458;389;785;8;5850;390;2055
20/04/2020;25132;2256;1539;1775;461;2051;13;4676;368;1927
21/04/2020;25378;2729;3968;1785;708;2667;9;4301;377;2498
22/04/2020;29046;3370;4211;2237;721;1827;11;4451;423;2678
23/04/2020;32331;2646;4635;2352;747;1653;14;4583;469;3735
24/04/2020;36137;3021;6740;2337;769;1773;10;5386;441;3503
25/04/2020;34875;2357;3995;2055;474;1537;10;4913;353;5514
26/04/2020;26929;2324;2870;1737;297;461;10;4463;203;3379
27/04/2020;22113;1739;2793;1018;543;1195;14;4309;191;4613
28/04/2020;24447;2091;2706;1144;750;1065;9;3996;276;5385
29/04/2020;25904;2086;4771;1304;774;1607;4;4076;236;6276
30/04/2020;29834;1872;2470;1478;186;1139;9;6032;193;7218
01/05/2020;;;;;;;;;;
02/05/2020;;;;;;;;;;
03/05/2020;;;;;;;;;;
04/05/2020;;;;;;;;;;
05/05/2020;;;;;;;;;;
06/05/2020;;;;;;;;;;
07/05/2020;;;;;;;;;;
08/05/2020;;;;;;;;;;
09/05/2020;;;;;;;;;;
10/05/2020;;;;;;;;;;
11/05/2020;;;;;;;;;;
12/05/2020;;;;;;;;;;
13/05/2020;;;;;;;;;;
14/05/2020;;;;;;;;;;
15/05/2020;;;;;;;;;;
16/05/2020;;;;;;;;;;
17/05/2020;;;;;;;;;;
18/05/2020;;;;;;;;;;
